<ID|readonly|noverify>;<customlang>▃USA▀GER▂USSR▄UK▅JP☀ROC␗PRC╏IT☨FR☫IRANISR⚜FR◊GDR◄FRG◐HUN◔HUN◗NLD◘NLD|
"weapons/fr_as37_l_band";"Martel AS-37 (L-band)"
"weapons/fr_as37_l_band/short";"AS-37 (L-band) [PRH]"
"weapons/fr_as37_s_band";"Martel AS-37 (S-band)"
"weapons/fr_as37_s_band/short";"AS-37 (S-band) [PRH]"
"weapons/fr_as37_c_band";"Martel AS-37 (C-band)"
"weapons/fr_as37_c_band/short";"AS-37 (C-band) [PRH]"
"weapons/fr_as37_armat";"Martel AS-37 ARMAT"
"weapons/fr_as37_armat/short";"AS-37 ARMAT [PRH]"
"weapons/cn_ld10";"LD-10
<color=#1155aa>Passive Radar Homing</color>"
"weapons/cn_ld10/short";"LD-10 [PRH]"
"weapons/us_agm_122";"AGM-122A Sidearm
<color=#1155aa>Passive Radar Homing</color>"
"weapons/us_agm_122/short";"AGM-122A [PRH]"
"weapons/su_kh_25ml";"Kh-25ML AS-10 Karen-ML"
"weapons/su_kh_25ml/short";"AS-10 Karen-ML [LASER]"
"weapons/su_kh_29t";"<color=#d6a31e>Air-to-Ground Missile</color>
Kh-29T AS-14 Kedge-T
<color=#ed4770>TeleVision guided</color>"
"weapons/su_kh_29t/short";"AS-14 Kedge-T [TV]"
"weapons/su_kh_29td";"<color=#d6a31e>Air-to-Ground Missile</color>
Kh-29TD AS-14 Kedge-TD
<color=#ed4770>TeleVision guided</color>"
"weapons/su_kh_29td/short";"AS-14 Kedge-TD [TV]"
"weapons/su_kh_29te";"Kh-29TE AS-14 Kedge-TE"
"weapons/su_kh_29te/short";"AS-14 Kedge-TE [TV]"
"weapons/su_kh_59m";"Kh-59M AS-18 Kazoo Cruise Missile
<color=#1155aa>Active Radar Homing</color>"
"weapons/su_kh_59m/short";"AS-18 Kazoo [TV]"
"weapons/su_kh_59me";"Kh-59ME AS-18 Kazoo Cruise Missile
<color=#1155aa>Active Radar Homing</color>"
"weapons/su_kh_59me/short";"AS-18 Kazoo [TV]"
"weapons/su_kh_38ml";"Kh-38ML [Unknown NATO Name]
<color=#1155aa>LASER-GNSS (GPS/GLONASS) guided</color>"
"weapons/su_kh_38ml/short";"Kh-38ML [LASER]"
"weapons/su_kh_38mt";"Kh-38MT [Unknown NATO Name]"
"weapons/su_kh_38mt/short";"Kh-38MT [TV-IR]"
"weapons/su_kh_38mle";"Kh-38MLE [Unknown NATO Name]"
"weapons/su_kh_38mle/short";"Kh-38MLE [LASER]"
"weapons/su_kh_38mte";"Kh-38MTE [Unknown NATO Name]"
"weapons/su_kh_38mte/short";"Kh-38MTE [TV-IR]"
"weapons/su_lmur";"LMUR Izdeliye 305"
"weapons/su_lmur/short";"LMUR [TV-IR]"
"weapons/cannon_am23_tu_95_turret";"23mm AM-23, Turret";
"weapons/su_rds37";"☢RDS-37 (1.6 Mt)"
"weapons/su_rds37/short";"☢RDS-37 [1.6Mt, D]"
"weapons/su_rn_28_nt";"☢RN-28 Nuke (5 kt)
<color=#ed4770>NUCLEAR BOMB</color>
<color=#aa5511>Dumb/unguided</color>"
"weapons/su_rn_28_nt/short";"☢RN-28 [5kt, D]"
"weapons/su_rn_40";"☢RN-40 Nuke (30 kt)
<color=#ed4770>NUCLEAR BOMB</color>
<color=#aa5511>Dumb/unguided</color>"
"weapons/su_rn_40/short";"☢RN-40 [30kt, D]"
"weapons/us_b83";"☢B83 Nuke (1.2 Mt)
<color=#ed4770>NUCLEAR BOMB</color>
<color=#aa5511>Dumb/unguided</color>"
"weapons/us_b83/short";"☢B83 [1.2Mt, D]"
"weapons/us_b28";"<color=#d6a31e>Bomb</color>
☢B28 Nuke (1.45 Mt)
<color=#ed4770>NUCLEAR BOMB</color>
<color=#aa5511>Dumb/unguided</color>"
"weapons/us_b28/short";"☢B28 [1.45Mt, D]"
"weapons/us_b28_ang45";"☢B28 Nuke (1.45 Mt
<color=#ed4770>NUCLEAR BOMB</color>
<color=#aa5511>Dumb/unguided</color>)"
"weapons/us_b28_ang45/short";"☢B28 [1.45Mt,  D]"
"weapons/us_b61_5kt";"☢B61 Nuke (5 kt)
<color=#ed4770>NUCLEAR BOMB</color>
<color=#aa5511>Dumb/unguided</color>"
"weapons/us_b61_5kt/short";"☢B61 [5kt, D]"
"weapons/us_b61_30kt";"☢B61 Nuke (30 kt)
<color=#ed4770>NUCLEAR BOMB</color>
<color=#aa5511>Dumb/unguided</color>"
"weapons/us_b61_30kt/short";"☢B61 [30kt, D]"
"weapons/us_agm_45b_10";"AGM-45B-10 Shrike
<color=#1155aa>Passive Radar Homing</color>"
"weapons/us_agm_45b_10/short";"AGM-45B-10 [PRH]"
"weapons/us_agm_88a";"AGM-88A HARM
<color=#1155aa>Passive Radar Homing</color>"
"weapons/us_agm_88a/short";"AGM-88A [PRH]"
"weapons/us_agm_88c";"AGM-88C HARM
<color=#1155aa>Passive Radar Homing</color>"
"weapons/us_agm_88c/short";"AGM-88C [PRH]"
"weapons/su_kh_25mp";"Kh-25MP AS-10 Karen-MP
<color=#1155aa>Passive Radar Homing</color>"
"weapons/su_kh_25mp/short";"AS-10 Karen-MP [PRH]"
"weapons/su_kh_25mp_cw";"Kh-25MP AS-10 Karen-MP (CW)
<color=#1155aa>Passive Radar Homing</color>"
"weapons/su_kh_25mp_cw/short";"AS-10 Karen-MP (CW) [PRH]"
"weapons/su_kh_25mpu";"Kh-25MPU AS-10 Karen-MPU
<color=#1155aa>Passive Radar Homing</color>"
"weapons/su_kh_25mpu/short";"AS-10 Karen-MPU [PRH]"
"weapons/su_kh_27ps";"Kh-27PS AS-12 Kegler-PS
<color=#1155aa>Passive Radar Homing</color>"
"weapons/su_kh_27ps/short";"AS-12 Kegler-PS [PRH]"
"weapons/su_kh_27ps_cw";"Kh-27PS AS-12 Kegler-PS (CW)
<color=#1155aa>Passive Radar Homing</color>"
"weapons/su_kh_27ps_cw/short";"AS-12 Kegler-PS [PRH]"
"weapons/su_kh_58u_a_band";"Kh-58U AS-11 Kilter-U (A-band)"
"weapons/su_kh_58ush";"Kh-58USh AS-11 Kilter-USh
<color=#1155aa>Passive Radar Homing</color>"
"weapons/su_kh_58ush";"AS-11 Kilter-USh [PRH]"
"weapons/su_kh_31ad";"Kh-31AD AS-17 Krypton-AD ASM
<color=#1155aa>Active Radar Homing</color>"
"weapons/su_kh_31ad/short";"AS-17 Krypton-AD [ARH]"
"weapons/su_kh_31pd";"Kh-31PD AS-17 Krypton-PD ARM"
"weapons/su_kh_31pd/short";"AS-17 Krypton-PD [PRH]"
"weapons/su_kh_31p_l_111";"Kh-31P (L-111, A-band) AS-17 Krypton-P ARM"
"weapons/su_kh_31p_l_111/short";"AS-17 Krypton-P (A-band) [PRH]"
"weapons/su_kh_31p_l_112";"Kh-31P (L-112, B-band) AS-17 Krypton-P ARM"
"weapons/su_kh_31p_l_112/short";"AS-17 Krypton-P (B-band) [PRH]"
"weapons/su_kh_31p_l_113";"Kh-31P (L-113, C-band) AS-17 Krypton-P ARM"
"weapons/su_kh_31p_l_113/short";"AS-17 Krypton-P (C-band) [PRH]"
"weapons/su_kh_58ushk";"Kh-58UShK AS-17 Krypton-UShK"
"weapons/su_kh_58ushk/short";"AS-17 Krypton-UShK [PRH]"
"weapons/su_kh_31a";"Kh-31A AS-17 Krypton-A"
"weapons/su_kh_31a/short";"AS-17 Krypton-A [ARH]"
"weapons/su_kh_58u_a_band/short";"AS-11 Kilter-U (A) [PRH]"
"weapons/su_kh_58u_a_band_cw";"Kh-58U AS-11 Kilter-U ARM (A-band-CW)"
"weapons/su_kh_58u_a_band_cw/short";"AS-11 Kilter-U (A-CW) [PRH]"
"weapons/su_kh_58u_b_band";"Kh-58U AS-11 Kilter-U ARM (B-band)"
"weapons/su_kh_58u_b_band/short";"AS-11 Kilter-U (B) [PRH]"
"weapons/su_kh_58u_c_band";"Kh-58U AS-11 Kilter-U ARM (C-band)"
"weapons/su_kh_58u_c_band/short";"AS-11 Kilter-U (C) [PRH]"
"weapons/su_kh_58ushk";"Kh-58UShK AS-11 Kilter-UShK ARM"
"weapons/su_kh_58ushk/short";"AS-11 Kilter-UShK [PRH]"
"weapons/su_kh_59";"Kh-59 AS-13 Kingbolt Cruise Missile"
"weapons/su_kh_59/short";"AS-13 Kingbolt [TV]"
"weapons/su_kh_59mk";"Kh-59MK AS-18 Kazoo-MK Anti-ship Cruise Missile"
"weapons/su_kh_59mk/short";" AS-18 Kazoo-MK [ARH]"
"weapons/su_kh_59mke";"Kh-59MKE AS-18 Kazoo-MKE Anti-ship Cruise Missile"
"weapons/su_kh_59mke/short";" AS-18 Kazoo-MKE [ARH]"
"weapons/su_phantasmagoria_a";"Phantasmagoria-A targeting pod"
"weapons/su_phantasmagoria_a/short";"Phantasmagoria-A"
"weapons/su_phantasmagoria_b_beck";"Phantasmagoria-B targeting pod"
"weapons/su_phantasmagoria_b_beck/short";"Phantasmagoria-B"
"weapons/su_phantasmagoria_b_front";"Phantasmagoria-B targeting pod"
"weapons/su_phantasmagoria_b_front/short";"Phantasmagoria-B"
"weapons/cannonMGC30L";"20 mm MG C/30L cannon";"Canon de 20mm MG C/30L";"Cannone da 20mm MG C/30L";"20 mm MG C/30L Maschinenkanone";"Cañón MG C/30L de 20 mm";"20-мм пушка MG C/30L";"Działko MG C/30L kal. 20 mm";"20 mm kanón MG C/30L";"MG C/30L 20 mm top";"20 毫​米 MG C/30L 机​炮";"20 mm MG C/30L 機関砲";"Canhão de 20 mm MG C/30L";"20-мм гармата MG C/30L";"Top 20 mm MG C/30L";"20 mm-es MG C/30L gépágyú";"20 mm MG C/30L 기관포";"20-мм гармата MG C/30L";"Tun MG C/30L, cal. 20 mm";"20 毫​米 MG C/30L 機​炮";"20 毫​米 MG C/30L 机​炮";"Pháo MG C/30L 20 mm"
"weapons/cannonType5";"30 mm Type 5 cannon";"Canon de 30mm type 5";"Cannone Tipo 5 da 30mm";"30 mm Typ 5 Maschinenkanone";"Cañón Tipo 5 de 30 mm";"30-мм пушка Type 5";"Działo Typ 5 kal. 30 mm";"30 mm kanón typ 5";"30 mm Type 5 top";"30 毫​米 五​式​固​定​机​炮";"30 mm 五式 機関砲";"Canhão de 30 mm Type 5";"30-мм гармата Type 5";"Top 30 mm type 5";"30 mm-es 5-ös típusú gépágyú";"30 mm 5식 기관포";"30-мм гармата тып 5";"Tun tip 5, cal. 30 mm";"30 毫​米​五​式​機​炮";"30 毫​米​五​式​固​定​机​炮";"Pháo nòng 30mm Type 5"
"weapons/cannonType5_external";"30 mm Type 5 cannon";"Canon de 30 mm Type 5";"Cannone Tipo 5 da 30mm";"30 mm Typ 5 Maschinenkanone";"Cañón Tipo 5 de 30 mm";"30-мм пушка Type 5";"Działo Typ 5 kal. 30 mm";"30 mm kanón typ 5";"30 mm Type 5 top";"30 毫​米 五​式​固​定​机​炮";"30 mm 五式 機関砲";"Canhão de 30 mm Type 5";"30-мм гармата Type 5";"30 mm Tip 5 top";"30 mm-es 5-ös típusú gépágyú";"30 mm 5식 기관포";"30-мм пушка Type 5";"Tun tip 5, cal. 30 mm";"30 毫​米​五​式​機​炮";"30 毫​米​五​式​固​定​机​炮";"Pháo nòng 30mm Type 5"
"weapons/gunType97";"7.7 mm Type 97 machine gun";"Mitrailleuse de 7.7mm type 97";"Mitragliatrice da 7.7mm Tipo 97";"7,7 mm Typ 97 Maschinengewehr";"Ametralladora Tipo 97 de 7.7 mm";"7,7-мм пулемёт Type 97";"Karabin maszynowy Typ 97 kal. 7,7 mm";"7,7 mm kulomet typ 97";"7.7 mm Type 97 makineli tüfek";"7.7 毫​米 九​七​式​固​定​机​枪";"7.7 mm 九七式車載重機関銃";"Metralhadora de 7,7 mm Type 97";"7,7-мм кулемет Type 97";"Mitraljez 7.7 mm tip 97";"7,7 mm-es 97-es típusú géppuska";"7.7 mm 97식 기관총";"7,7-мм кулямёт тып 97";"Mitralieră tip 97, cal. 7,7 mm";"7.7 毫​米​九​七​式​車​載​機​槍";"7.7 毫​米​九​七​式​固​定​机​枪";"Súng máy nòng 7.7 mm Type 97"
